Grupos de edad,Region,Total
0-9,Barranquilla,195486.0
0-9,Bogotá D.C.,976110.0
0-9,Cali,316880.0
0-9,Cartagena de Indias,171501.0
0-9,Medellín,299529.0
10-19,Barranquilla,203464.0
10-19,Bogotá D.C.,1041579.0
10-19,Cali,335476.0
10-19,Cartagena de Indias,171025.0
10-19,Medellín,348019.0
20-39,Barranquilla,408892.0
20-39,Bogotá D.C.,2747703.0
20-39,Cali,686698.0
20-39,Cartagena de Indias,338058.0
20-39,Medellín,873086.0
40-59,Barranquilla,290278.0
40-59,Bogotá D.C.,1920354.0
40-59,Cali,546944.0
40-59,Cartagena de Indias,226105.0
40-59,Medellín,619072.0
60-79,Barranquilla,150446.0
60-79,Bogotá D.C.,916101.0
60-79,Cali,307264.0
60-79,Cartagena de Indias,104570.0
60-79,Medellín,339701.0
80 y más,Barranquilla,25684.0
80 y más,Bogotá D.C.,142108.0
80 y más,Cali,59354.0
80 y más,Cartagena de Indias,17477.0
80 y más,Medellín,54017.0
